CEREALS,Dry Maize,Bag,90,20,2900,3000,3600,3000.1,3166.6666666666665,3600.1,2900.1,378.59388972001824,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,Green Maize,Ext. Bag,115.0,19,2100.0,2000.0,3400.0,,2500.0,3400,2000,781.0249675906655,,,,
,Finger Millet,Bag,90.0,41,8600.0,5400.0,7200.0,5600,7066.666666666667,8600,5400,1604.1612554021272,,,,
,Sorghum,Bag,90.0,42,5300.0,3000.0,5400.0,3400,4566.666666666667,5400,3000,1357.694123627753,,,,
,Wheat,Bag,90.0,48,,,5400.0,,5400.0,5400,5400,,,,,
LEGUMES,Beans Canadian,Bag,90.0,4,8200.0,7200.0,9000.0,6000,8133.333333333333,9000,7200,901.8499505645788,,,,
 ,Beans Rosecoco,Bag,90.0,5,8600.0,9000.0,,7500,8800.0,9000,8600,282.842712474619,,,,
,Beans Mwitemania,Bag,90.0,7,7200.0,5400.0,7200.0,6000,6600.0,7200,5400,1039.2304845413264,,,,
,Mwezi Moja,Bag,90.0,6,5400.0,7200.0,8100.0,,6900.0,8100,5400,1374.772708486752,,,,
, Dolichos (Njahi),Bag,90.0,35,12600.0,12000.0,9000.0,13000,11200.0,12600,9000,1928.730152198591,,,,
,Green Gram,Bag,90.0,46,10600.0,7000.0,10800.0,7000,9466.666666666666,10800,7000,2138.535324312728,,,,
,Cowpeas,Bag,90.0,45,6600.0,7200.0,7200.0,5000,7000.0,7200,6600,346.41016151377545,,,,
,Fresh Peas,Bag,51.0,27,3000.0,3570.0,5500.0,3060,4023.3333333333335,5500,3000,1310.2035465275355,,,,
,Groundnuts,Bag,110.0,44,13800.0,12000.0,18700.0,13500,14833.333333333334,18700,12000,3467.4678561355568,,,,
ROOTS & TUBERS,Red Irish Potatoes,Bag,50.0,29,,,,2000,2000.0,2000,2000,2000.0,,,,
,White Irish Potatoes,Bag,50.0,30,2900.0,2300.0,5500.0,,3566.6666666666665,5500,2300,1700.980109623076,,,,
,Cassava - Fresh,Bag,99.0,43,2450.0,,3000.0,,2725.0,3000,2450,388.90872965260115,,,, 
,Sweet Potatoes,Bag,98.0,31,3800.0,6000.0,4900.0,6500,4900.0,6000,3800,1100.0,,,,
HORTICULTURE,Cabbages,Ext. Bag,126.0,9,1400.0,750.0,3500.0,1200,1883.3333333333333,3500,750,1437.300710823359,,,,
,Cooking Bananas,Med. Bunch,22.0,2,600.0,300.0,480.0,250,460.0,600,300,150.99668870541498,,,,
,Ripe Bananas,Med. Bunch,14.0,3,600.0,,420.0,350,510.0,600,420,,,,,
,Carrots,Ext. Bag,138.0,13,3300.0,2000.0,6000.0,,3766.6666666666665,6000,2000,2040.4247923737184,,,,
,Tomatoes,Lg. Box,64.0,32,5700.0,1500.0,3840.0,,3680.0,5700,1500,2104.566463668943,,,,
,Onions Dry,net,13.0,22,1060.0,780.0,1760.0,1170,1200.0,1760,780,504.7771785649585,,,,
,Spring Onions,Bag,142.0,23,2900.0,4900.0,,9940,3900.0,4900,2900,1414.213562373095,,,,
,Chillies,Bag,38.0,11,2450.0,1900.0,3800.0,,2716.6666666666665,3800,1900,977.667291737498,,,,
,Cucumber,Bag,50.0,14,2400.0,,1800.0,,2100.0,2400,1800,,,,,
,Capsicums,Bag,50.0,12,2500.0,2000.0,3000.0,1000,2500.0,3000,2000,500.0,,,,
,Brinjals,Bag,44.0,8,1540.0,1760.0,2200.0,,1833.3333333333333,2200,1540,336.0555509634278,,,,
 ,Cauliflower,crate,39.0,10,2950.0,,,,2950.0,2950,2950,,,,,
,Lettuce,Bag,51.0,17,1400.0,,8000.0,,4700.0,8000,1400,,,,,
,Passion Fruits,Bag,57.0,25,4100.0,3990.0,4560.0,,4216.666666666667,4560,3990,302.37945256470937,,,,
,Oranges,Bag,93.0,24,3500.0,3000.0,1500.0,2500,2666.6666666666665,3500,1500,1040.8329997330666,,,,
,Lemons,Bag,95.0,16,2600.0,2000.0,2000.0,       -,2200.0,2600,2000,346.41016151377545,,,,
,Mangoes Local,Bag,126.0,21,2300.0,3500.0,2100.0,       -,2633.3333333333335,3500,2100,757.1877794400369,,,,
,Mangoes Ngowe,Sm. Basket,25.0,36,1300.0,,500.0,       -,900.0,1300,500,,,,,
,Limes,net,13.0,18,2600.0,,800.0,-,1700.0,2600,800,,,,,
,Pineapples,Dozen,13.0,28,960.0,840.0,520.0,-,773.3333333333334,960,520,227.44962812309316,,,,
,Pawpaw,Lg. Box,54.0,26,2000.0,2000.0,2250.0,2700,2083.3333333333335,2250,2000,144.33756729740642,,,,
,Avocado,Bag,90.0,1,2600.0,2000.0,3000.0,1500,2533.3333333333335,3000,2000,503.3222956847173,,,,
,Kales,Bag,50.0,15,1000.0,500.0,1500.0,1000,1000.0,1500,500,500.0,,,,
OTHERS,Eggs,Tray,,47,300.0,300.0,370.0,300,323.3333333333333,370,300,40.414518843273925,,,,
